    n, insertion_cmp, insertion_swaps, insertion_time, Mergesort_cmp, Mergesort_swaps, Mergesort_time, Bubblesort_cmp, Bubblesort_swaps, Bubblesort_time
    0,             0,               0,              2,             1,               0,              1,              0,                0,               0
    1,             0,               0,              0,             1,               0,              0,              0,                0,               0
    2,             1,               1,              1,            11,               2,              2,              4,                1,              51
    3,             3,               3,              2,            24,               5,             19,             11,                3,               1
    4,             4,               3,              2,            35,               8,             22,             20,                3,               2
    5,             5,               3,              2,            46,              12,              3,             31,                3,               1
    6,             7,               4,              2,            61,              16,              3,             44,                4,               2
    7,            10,               6,              4,            77,              20,              5,             59,                6,               6
    8,            11,               6,              3,            90,              24,              3,             76,                6,               1
    9,            12,               6,              1,           102,              29,              2,             95,                6,               1
   10,            13,               6,              2,           118,              34,              2,            116,                6,               2
   11,            15,               7,              2,           134,              39,              2,            139,                7,               2
   12,            16,               7,              2,           149,              44,              5,            164,                7,               2
   13,            18,               8,              2,           163,              49,              3,            191,                8,               2
   14,            19,               8,              2,           182,              54,              3,            220,                8,               3
   15,            20,               8,              3,           196,              59,              6,            251,                8,               6
   16,            22,               9,              5,           215,              64,              7,            284,                9,               7
   17,            25,              11,              4,           231,              70,             11,            319,               11,               8
   18,            26,              11,              3,           246,              76,              7,            356,               11,               4
   19,            27,              11,              2,           259,              82,              3,            395,               11,               8
   20,            29,              12,              3,           282,              88,              5,            436,               12,               9
   21,            30,              12,              3,           299,              94,              4,            479,               12,               6
   22,            31,              12,              2,           312,             100,              4,            524,               12,               5
   23,            33,              13,              2,           331,             106,              7,            571,               13,               6
   24,            34,              13,              4,           353,             112,             12,            620,               13,              10
   25,            35,              13,              7,           367,             118,             12,            671,               13,              14
   26,            36,              13,              5,           380,             124,             12,            724,               13,              13
   27,            37,              13,              6,           395,             130,             16,            779,               13,              15
   28,            41,              16,              3,           423,             136,             10,            836,               16,              14
   29,            43,              17,             69,           441,             142,             19,            895,               17,              16
   30,            44,              17,              9,           460,             148,             38,            956,               17,              18
   31,            45,              17,              5,           477,             154,              7,           1019,               17,              18
   32,            46,              17,              6,           497,             160,              8,           1084,               17,              14
   33,            49,              19,              8,           514,             167,              9,           1151,               19,              17
   34,            51,              20,             14,           533,             174,              9,           1220,               20,              87
   35,            55,              23,              4,           550,             181,              9,           1291,               23,              12
   36,            56,              23,              4,           572,             188,              9,           1364,               23,              13
   37,            57,              23,              4,           585,             195,             14,           1439,               23,              14
   38,            59,              24,              6,           605,             202,             10,           1516,               24,              15
   39,            60,              24,              4,           622,             209,              9,           1595,               24,              15
   40,            61,              24,              4,           646,             216,              9,           1676,               24,              16
   41,            62,              24,             16,           661,             223,              6,           1759,               24,              17
   42,            64,              25,              4,           686,             230,              9,           1844,               25,              17
   43,            67,              27,              4,           704,             237,             20,           1931,               27,              31
   44,            69,              28,              7,           722,             244,             11,           2020,               28,             152
   45,            70,              28,              7,           740,             251,             15,           2111,               28,              35
   46,            71,              28,             15,           762,             258,             16,           2204,               28,              21
   47,            73,              29,              5,           781,             265,              7,           2299,               29,              22
   48,            76,              31,              4,           809,             272,              9,           2396,               31,              22
   49,            77,              31,              6,           824,             279,              7,           2495,               31,              23
   50,            78,              31,              5,           847,             286,             10,           2596,               31,              24
   51,            80,              32,              5,           864,             293,             10,           2699,               32,             121
   52,            82,              33,              5,           878,             300,             11,           2804,               33,             114
   53,            83,              33,              5,           898,             307,             12,           2911,               33,             110
   54,            84,              33,              5,           915,             314,             11,           3020,               33,             108
   55,            85,              33,              5,           934,             321,             15,           3131,               33,             114
   56,            86,              33,              5,           962,             328,             11,           3244,               33,             109
   57,            87,              33,              5,           980,             335,             10,           3359,               33,              36
   58,            88,              33,              5,          1003,             342,             11,           3476,               33,              74
   59,            89,              33,              5,          1017,             349,             11,           3595,               33,              74
   60,            90,              33,              5,          1044,             356,             11,           3716,               33,              74
   61,            91,              33,              6,          1063,             363,              8,           3839,               33,              73
   62,            92,              33,              5,          1084,             370,             11,           3964,               33,              74
   63,            93,              33,              5,          1105,             377,             10,           4091,               33,              74
   64,            95,              34,              5,          1126,             384,             11,           4220,               34,              75
   65,            96,              34,              5,          1142,             392,             20,           4351,               34,             173
   66,            97,              34,              5,          1162,             400,             12,           4484,               34,              76
   67,            98,              34,              6,          1179,             408,             11,           4619,               34,              75
   68,            99,              34,              6,          1197,             416,             11,           4756,               34,              76
   69,           100,              34,              6,          1213,             424,             20,           4895,               34,             149
   70,           101,              34,             10,          1232,             432,             22,           5036,               34,             138
   71,           102,              34,             11,          1253,             440,             21,           5179,               34,             139
   72,           103,              34,             10,          1274,             448,             36,           5324,               34,             139
   73,           104,              34,              9,          1291,             456,             27,           5471,               34,              13
   74,           105,              34,              9,          1312,             464,             23,           5620,               34,              11
   75,           106,              34,             10,          1331,             472,             20,           5771,               34,              10
   76,           107,              34,             19,          1348,             480,             20,           5924,               34,              10
   77,           108,              34,              9,          1366,             488,             21,           6079,               34,              11
   78,           109,              34,             10,          1390,             496,             22,           6236,               34,              11
   79,           111,              35,             10,          1413,             504,             24,           6395,               35,              12
   80,           112,              35,             10,          1438,             512,             24,           6556,               35,              12
   81,           113,              35,             25,          1455,             520,             23,           6719,               35,              12
   82,           114,              35,             10,          1475,             528,             20,           6884,               35,              11
   83,           115,              35,             10,          1494,             536,             21,           7051,               35,              12
   84,           117,              36,             10,          1519,             544,             23,           7220,               36,              13
   85,           118,              36,             11,          1538,             552,             23,           7391,               36,              13
   86,           121,              38,             12,          1562,             560,             24,           7564,               38,              14
   87,           122,              38,             11,          1583,             568,             26,           7739,               38,              14
   88,           123,              38,             23,          1602,             576,             24,           7916,               38,              14
   89,           124,              38,             13,          1623,             584,             25,           8095,               38,              12
   90,           125,              38,             12,          1641,             592,             23,           8276,               38,              14
   91,           126,              38,             12,          1661,             600,             27,           8459,               38,              12
   92,           127,              38,             23,          1689,             608,             24,           8644,               38,              14
   93,           128,              38,             10,          1710,             616,             23,           8831,               38,              14
   94,           129,              38,             12,          1726,             624,             29,           9020,               38,              17
   95,           130,              38,             12,          1753,             632,             23,           9211,               38,              14
   96,           131,              38,             11,          1781,             640,             27,           9404,               38,              17
   97,           132,              38,             14,          1798,             648,             28,           9599,               38,              16
   98,           133,              38,             12,          1813,             656,             25,           9796,               38,              18
   99,           134,              38,             10,          1834,             664,             33,           9995,               38,              13
  100,           135,              38,             11,          1862,             672,             24,          10196,               38,              16
  101,           137,              39,             16,          1881,             680,             54,          10399,               39,              15
  102,           138,              39,             12,          1899,             688,             24,          10604,               39,              17
  103,           139,              39,             12,          1920,             696,             27,          10811,               39,              19
  104,           140,              39,             16,          1937,             704,             30,          11020,               39,              20
  105,           141,              39,             13,          1955,             712,             28,          11231,               39,              21
  106,           142,              39,             13,          1976,             720,             30,          11444,               39,              21
  107,           144,              40,             13,          2000,             728,             38,          11659,               40,              20
  108,           147,              42,             16,          2022,             736,             30,          11876,               42,              19
  109,           148,              42,             14,          2042,             744,             29,          12095,               42,              20
  110,           149,              42,             13,          2065,             752,             28,          12316,               42,              18
  111,           150,              42,             15,          2088,             760,             30,          12539,               42,              20
  112,           153,              44,             12,          2123,             768,             29,          12764,               44,              20
  113,           154,              44,             13,          2140,             776,             37,          12991,               44,              20
  114,           155,              44,             13,          2163,             784,             30,          13220,               44,              20
  115,           157,              45,             13,          2182,             792,             30,          13451,               45,              22
  116,           159,              46,             14,          2213,             800,             29,          13684,               46,              21
  117,           161,              47,             13,          2234,             808,             26,          13919,               47,              21
  118,           162,              47,             17,          2253,             816,             31,          14156,               47,              22
  119,           163,              47,             13,          2272,             824,             30,          14395,               47,              22
  120,           164,              47,             13,          2305,             832,             30,          14636,               47,              22
  121,           165,              47,             13,          2323,             840,             31,          14879,               47,              23
  122,           166,              47,             13,          2351,             848,             38,          15124,               47,              23
  123,           167,              47,             13,          2368,             856,             27,          15371,               47,              25
  124,           169,              48,             18,          2396,             864,             34,          15620,               48,              27
  125,           170,              48,             15,          2416,             872,             29,          15871,               48,              25
  126,           171,              48,             13,          2446,             880,             33,          16124,               48,              27
  127,           172,              48,             14,          2468,             888,             68,          16379,               48,              25
  128,           174,              49,             14,          2492,             896,             32,          16636,               49,              27
  129,           175,              49,             13,          2509,             905,             36,          16895,               49,              29
  130,           178,              51,             17,          2527,             914,             32,          17156,               51,              28
  131,           179,              51,             15,          2550,             923,             34,          17419,               51,              28
  132,           180,              51,             16,          2571,             932,             34,          17684,               51,              27
  133,           182,              52,             16,          2587,             941,             37,          17951,               52,              28
  134,           183,              52,             15,          2613,             950,             34,          18220,               52,              28
  135,           184,              52,             17,          2627,             959,             35,          18491,               52,              30
  136,           186,              53,             16,          2657,             968,             34,          18764,               53,              30
  137,           189,              55,             15,          2677,             977,             33,          19039,               55,              33
  138,           190,              55,             16,          2692,             986,             37,          19316,               55,              30
  139,           192,              56,             16,          2714,             995,             38,          19595,               56,              32
  140,           193,              56,             16,          2736,            1004,             33,          19876,               56,              30
  141,           194,              56,             19,          2759,            1013,             35,          20159,               56,              30
  142,           195,              56,             16,          2780,            1022,             40,          20444,               56,              33
  143,           196,              56,             16,          2801,            1031,             34,          20731,               56,              38
  144,           197,              56,             16,          2827,            1040,             36,          21020,               56,              34
  145,           200,              58,             15,          2849,            1049,             36,          21311,               58,              35
  146,           204,              61,             19,          2873,            1058,             34,          21604,               61,              35
  147,           205,              61,             18,          2890,            1067,             39,          21899,               61,              30
  148,           206,              61,             17,          2918,            1076,             36,          22196,               61,              35
  149,           207,              61,             14,          2935,            1085,             39,          22495,               61,              36
  150,           208,              61,             18,          2956,            1094,             36,          22796,               61,              37
  151,           209,              61,             20,          2981,            1103,             37,          23099,               61,              37
  152,           210,              61,             42,          2999,            1112,             38,          23404,               61,              35
  153,           211,              61,             17,          3023,            1121,             40,          23711,               61,              38
  154,           213,              62,             17,          3037,            1130,             38,          24020,               62,              40
  155,           214,              62,             16,          3065,            1139,             41,          24331,               62,              36
  156,           215,              62,             21,          3093,            1148,             42,          24644,               62,              41
  157,           216,              62,             19,          3113,            1157,             38,          24959,               62,              43
  158,           217,              62,             17,          3143,            1166,             41,          25276,               62,              40
  159,           219,              63,             18,          3159,            1175,             43,          25595,               63,              37
  160,           220,              63,             23,          3192,            1184,             38,          25916,               63,              38
  161,           224,              66,             18,          3215,            1193,             41,          26239,               66,              40
  162,           228,              69,             61,          3237,            1202,             45,          26564,               69,              41
  163,           229,              69,             21,          3253,            1211,             47,          26891,               69,              42
  164,           230,              69,             46,          3284,            1220,             43,          27220,               69,              37
  165,           231,              69,             32,          3298,            1229,             39,          27551,               69,              41
  166,           232,              69,             20,          3318,            1238,             44,          27884,               69,              46
  167,           233,              69,             20,          3351,            1247,             43,          28219,               69,              46
  168,           236,              71,             21,          3370,            1256,             43,          28556,               71,              26
  169,           237,              71,             14,          3394,            1265,             25,          28895,               71,              25
  170,           238,              71,             12,          3412,            1274,             52,          29236,               71,              42
  171,           239,              71,             24,          3436,            1283,             41,          29579,               71,              39
  172,           240,              71,             23,          3459,            1292,             50,          29924,               71,              46
  173,           241,              71,              8,          3479,            1301,             43,          30271,               71,              43
  174,           242,              71,              7,          3509,            1310,             42,          30620,               71,              45
  175,           244,              72,              8,          3536,            1319,             46,          30971,               72,              48
  176,           247,              74,              8,          3554,            1328,             46,          31324,               74,              51
  177,           249,              75,              8,          3578,            1337,             46,          31679,               75,              47
  178,           250,              75,              8,          3600,            1346,             46,          32036,               75,              55
  179,           251,              75,              8,          3622,            1355,             47,          32395,               75,              49
  180,           253,              76,              8,          3652,            1364,             48,          32756,               76,              53
  181,           256,              78,              8,          3678,            1373,             46,          33119,               78,              67
  182,           259,              80,             22,          3696,            1382,             69,          33484,               80,              55
  183,           261,              81,              7,          3718,            1391,             47,          33851,               81,              48
  184,           262,              81,              8,          3761,            1400,             49,          34220,               81,              30
  185,           263,              81,              7,          3785,            1409,             48,          34591,               81,              48
  186,           264,              81,              7,          3797,            1418,             46,          34964,               81,              53
  187,           266,              82,              7,          3821,            1427,             48,          35339,               82,              53
  188,           268,              83,              8,          3853,            1436,             46,          35716,               83,              53
  189,           271,              85,              8,          3873,            1445,             47,          36095,               85,             598
  190,           274,              87,              9,          3901,            1454,             50,          36476,               87,              54
  191,           275,              87,              8,          3935,            1463,             57,          36859,               87,              58
  192,           276,              87,              8,          3968,            1472,             52,          37244,               87,              57
  193,           277,              87,              9,          3986,            1481,             46,          37631,               87,              55
  194,           278,              87,              8,          3997,            1490,             46,          38020,               87,              57
  195,           279,              87,              8,          4018,            1499,             52,          38411,               87,              59
  196,           280,              87,              9,          4038,            1508,             49,          38804,               87,              58
  197,           281,              87,              8,          4059,            1517,             51,          39199,               87,              58
  198,           282,              87,              8,          4082,            1526,             48,          39596,               87,              60
  199,           283,              87,              8,          4103,            1535,             51,          39995,               87,              61
  200,           284,              87,              8,          4141,            1544,             58,          40396,               87,              61
  201,           285,              87,             11,          4158,            1553,             51,          40799,               87,              59
  202,           286,              87,              8,          4175,            1562,             49,          41204,               87,              61
  203,           287,              87,              9,          4195,            1571,             48,          41611,               87,              63
  204,           288,              87,              8,          4222,            1580,             52,          42020,               87,              65
  205,           290,              88,              9,          4244,            1589,             52,          42431,               88,              64
  206,           293,              90,              8,          4267,            1598,             51,          42844,               90,              66
  207,           294,              90,              9,          4299,            1607,             51,          43259,               90,              65
  208,           295,              90,              9,          4303,            1616,             52,          43676,               90,              66
  209,           297,              91,              9,          4322,            1625,             60,          44095,               91,              59
  210,           300,              93,              8,          4358,            1634,             48,          44516,               93,              72
  211,           303,              95,             10,          4382,            1643,             54,          44939,               95,              71
  212,           306,              97,              9,          4410,            1652,             55,          45364,               97,              73
  213,           307,              97,             10,          4436,            1661,             56,          45791,               97,              64
  214,           308,              97,              9,          4447,            1670,             51,          46220,               97,              70
  215,           309,              97,              9,          4484,            1679,             53,          46651,               97,              65
  216,           310,              97,             10,          4492,            1688,             91,          47084,               97,              61
  217,           311,              97,              9,          4516,            1697,             53,          47519,               97,              70
  218,           312,              97,             11,          4545,            1706,             52,          47956,               97,              65
  219,           313,              97,              9,          4568,            1715,             56,          48395,               97,              69
  220,           314,              97,              9,          4597,            1724,             53,          48836,               97,              71
  221,           315,              97,              9,          4626,            1733,             56,          49279,               97,              75
  222,           317,              98,             10,          4653,            1742,             56,          49724,               98,              74
  223,           318,              98,             10,          4666,            1751,             60,          50171,               98,              80
  224,           319,              98,             10,          4697,            1760,             60,          50620,               98,              79
  225,           320,              98,             10,          4718,            1769,             56,          51071,               98,              71
  226,           321,              98,             12,          4747,            1778,             53,          51524,               98,              70
  227,           322,              98,              9,          4770,            1787,             55,          51979,               98,              76
  228,           325,             100,             12,          4797,            1796,             62,          52436,              100,              74
  229,           330,             104,             10,          4821,            1805,            224,          52895,              104,              84
  230,           331,             104,             11,          4855,            1814,            476,          53356,              104,              85
  231,           332,             104,             11,          4868,            1823,             67,          53819,              104,              83
  232,           333,             104,             11,          4898,            1832,             66,          54284,              104,              86
  233,           334,             104,             10,          4920,            1841,             66,          54751,              104,              77
  234,           335,             104,             10,          4931,            1850,             59,          55220,              104,              87
  235,           336,             104,             10,          4969,            1859,             59,          55691,              104,              87
  236,           339,             106,             10,          4990,            1868,             61,          56164,              106,              92
  237,           341,             107,             11,          5009,            1877,             61,          56639,              107,              93
  238,           344,             109,             11,          5048,            1886,             60,          57116,              109,              93
  239,           345,             109,             10,          5066,            1895,             61,          57595,              109,              87
  240,           346,             109,             11,          5107,            1904,             64,          58076,              109,              85
  241,           347,             109,             12,          5123,            1913,             83,          58559,              109,              94
  242,           348,             109,              6,          5139,            1922,             62,          59044,              109,              94
  243,           349,             109,             12,          5170,            1931,             82,          59531,              109,              97
  244,           350,             109,              9,          5202,            1940,             71,          60020,              109,             100
  245,           351,             109,             12,          5225,            1949,             79,          60511,              109,              98
  246,           353,             110,             14,          5242,            1958,             68,          61004,              110,              93
  247,           355,             111,             12,          5271,            1967,             73,          61499,              111,             106
  248,           357,             112,             12,          5306,            1976,             78,          61996,              112,              85
  249,           360,             114,             11,          5331,            1985,             64,          62495,              114,              99
  250,           361,             114,             11,          5360,            1994,             65,          62996,              114,              99
  251,           362,             114,             11,          5373,            2003,             64,          63499,              114,              98
  252,           364,             115,             14,          5411,            2012,             69,          64004,              115,              99
  253,           365,             115,             11,          5432,            2021,             76,          64511,              115,             102
  254,           366,             115,             11,          5464,            2030,             77,          65020,              115,             102
  255,           368,             116,             11,          5499,            2039,             80,          65531,              116,             101
  256,           371,             118,             11,          5523,            2048,             64,          66044,              118,             101
  257,           374,             120,             12,          5544,            2058,             74,          66559,              120,             106
  258,           377,             122,             10,          5550,            2068,             77,          67076,              122,             106
  259,           378,             122,             11,          5584,            2078,             64,          67595,              122,             109
  260,           379,             122,             11,          5594,            2088,             60,          68116,              122,             109
  261,           380,             122,             10,          5611,            2098,             67,          68639,              122,             101
  262,           381,             122,             11,          5655,            2108,             64,          69164,              122,             105
  263,           382,             122,             12,          5675,            2118,             74,          69691,              122,             106
  264,           383,             122,             12,          5688,            2128,             64,          70220,              122,             105
  265,           384,             122,             11,          5706,            2138,             62,          70751,              122,             112
  266,           386,             123,             11,          5719,            2148,             64,          71284,              123,             113
  267,           387,             123,             11,          5758,            2158,             70,          71819,              123,             118
  268,           388,             123,             12,          5774,            2168,             78,          72356,              123,             117
  269,           389,             123,             12,          5796,            2178,            225,          72895,              123,             126
  270,           390,             123,             11,          5816,            2188,             76,          73436,              123,             108
  271,           391,             123,             12,          5843,            2198,             78,          73979,              123,             110
  272,           392,             123,             12,          5872,            2208,             70,          74524,              123,             112
  273,           393,             123,             15,          5890,            2218,             73,          75071,              123,             113
  274,           394,             123,             13,          5914,            2228,             75,          75620,              123,             117
  275,           395,             123,             12,          5933,            2238,             78,          76171,              123,             114
  276,           396,             123,             13,          5944,            2248,             78,          76724,              123,             113
  277,           397,             123,             12,          5971,            2258,             76,          77279,              123,             115
  278,           398,             123,             12,          5996,            2268,             70,          77836,              123,             115
  279,           399,             123,             11,          6021,            2278,             72,          78395,              123,             119
  280,           402,             125,             12,          6044,            2288,             78,          78956,              125,             120
  281,           407,             129,             13,          6079,            2298,             80,          79519,              129,             121
  282,           408,             129,             12,          6097,            2308,             76,          80084,              129,             119
  283,           409,             129,             13,          6115,            2318,             78,          80651,              129,             117
  284,           410,             129,             11,          6155,            2328,             80,          81220,              129,             123
  285,           413,             131,             13,          6174,            2338,             78,          81791,              131,             121
  286,           414,             131,             12,          6198,            2348,             73,          82364,              131,             120
  287,           415,             131,             12,          6222,            2358,             71,          82939,              131,             122
  288,           417,             132,             12,          6243,            2368,            107,          83516,              132,             115
  289,           418,             132,             11,          6262,            2378,             63,          84095,              132,             113
  290,           419,             132,             11,          6292,            2388,             70,          84676,              132,             125
  291,           420,             132,             14,          6326,            2398,             86,          85259,              132,             135
  292,           421,             132,             11,          6342,            2408,             67,          85844,              132,             122
  293,           423,             133,             16,          6366,            2418,             71,          86431,              133,             115
